ts,raw_score,smoothed_score,band
1757811841,88.00,87.92,High
1757811841,88.00,87.94,High
1757811841,88.00,87.95,High
1757811841,88.00,87.96,High
1757811841,88.00,87.97,High
1757811841,88.00,87.98,High
1757811841,88.00,87.98,High
1757811841,88.00,87.99,High
1757811841,88.00,87.99,High
1757811841,88.00,87.99,High
1757811841,88.00,87.99,High
1757811841,88.00,87.99,High
1757811841,88.00,88.00,High
1757811841,88.00,88.00,High
1757811841,88.00,88.00,High
1757811841,88.00,88.00,High
1757811841,88.00,88.00,High
1757811841,88.00,88.00,High
1757811842,88.00,88.00,High
1757811842,88.00,88.00,High
1757811842,88.00,88.00,High
1757811842,88.00,88.00,High
1757811842,88.00,88.00,High
1757811842,88.00,88.00,High
1757811842,88.00,88.00,High
1757811842,48.14,79.23,Moderate
1757811842,88.00,81.16,High
1757811842,88.00,82.66,High
1757811842,88.00,83.84,High
1757811842,88.00,84.75,High
1757811842,88.00,85.47,High
1757811842,88.00,86.03,High
1757811842,88.00,86.46,High
1757811842,88.00,86.80,High
1757811842,60.00,80.90,High
1757811842,38.53,71.58,Moderate
1757811842,88.00,75.19,Moderate
1757811842,88.00,78.01,Moderate
1757811842,88.00,80.21,High
1757811842,60.00,75.76,Moderate
1757811842,88.00,78.45,Moderate
1757811842,88.00,80.55,High
1757811842,88.00,82.19,High
1757811842,88.00,83.47,High
1757811842,88.00,84.47,High
1757811842,88.00,85.24,High
1757811842,88.00,85.85,High
1757811842,88.00,86.32,High
1757811843,88.00,86.69,High
1757811843,88.00,86.98,High
1757811843,88.00,87.20,High
1757811843,88.00,87.38,High
1757811843,88.00,87.52,High
1757811843,88.00,87.62,High
1757811843,88.00,87.71,High
1757811843,88.00,87.77,High
1757811843,88.00,87.82,High
1757811843,88.00,87.86,High
1757811843,88.00,87.89,High
1757811843,88.00,87.91,High
1757811843,88.00,87.93,High
1757811843,88.00,87.95,High
1757811843,88.00,87.96,High
1757811843,88.00,87.97,High
1757811843,88.00,87.98,High
1757811843,88.00,87.98,High
